title,price,sku,description,sizes,colors,images,type,product_link
GRAPHIC TEE,"PKR 1,799",22FHT238-0XS-WHT,"Machine or handwash upto 30°C/86F
Gentle cycle
Do not dry in direct sunlight
Do not bleach
Do not iron directly on prints/embroidery",,Not available,"https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT238-WHT_1.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT238-WHT_6.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT238-WHT_3.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT238-WHT_5.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT238-WHT_2.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT238-WHT_4.jpg",t-shirt,https://breakout.com.pk/collections/men-tees/products/22fht238-wht
GRAPHIC TEE,"PKR 1,799",22FHT238-0XS-BLK,"Machine or handwash upto 30°C/86F
Gentle cycle
Do not dry in direct sunlight
Do not bleach
Do not iron directly on prints/embroidery",,Not available,"https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT238-BLK_2.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT238-BLK_1.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT238-BLK_3.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT238-BLK_5.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT238-BLK_4.jpg",t-shirt,https://breakout.com.pk/collections/men-tees/products/22fht238-blk
TEE WITH CONTRAST POCKET,"PKR 1,799",22FHT281-0XS-WHT,"Machine or handwash upto 30°C/86F
Gentle cycle
Do not dry in direct sunlight
Do not bleach
Do not iron directly on prints/embroidery",,Not available,"https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT281-WHT_3.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT281-WHT_2.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT281-WHT_5.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT281-WHT_1.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT281-WHT_4.jpg",t-shirt,https://breakout.com.pk/collections/men-tees/products/22fht281-wht
RAGLAN TEE,"PKR 1,799",22FHT220-0XS-BLK,"Machine or handwash upto 30°C/86F
Gentle cycle
Do not dry in direct sunlight
Do not bleach
Do not iron directly on prints/embroidery",,Not available,"https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT220-BLK_1.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT220-BLK_4.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT220-BLK_3.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT220-BLK_2.jpg",t-shirt,https://breakout.com.pk/collections/men-tees/products/22fht220-blk
RAGLAN TEE,"PKR 1,999",22FFT298-0XS-GRK,"Machine or handwash upto 30°C/86F
Gentle cycle
Do not dry in direct sunlight
Do not bleach
Do not iron directly on prints/embroidery",,Not available,"https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT298-GRK_5.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT298-GRK_1.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT298-GRK_4.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT298-GRK_2.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT298-GRK_3.jpg",t-shirt,https://breakout.com.pk/collections/men-tees/products/22fft298-grk
TEE WITH CONTRAST POCKET,"PKR 1,799",22FHT281-0XS-BLK,"Machine or handwash upto 30°C/86F
Gentle cycle
Do not dry in direct sunlight
Do not bleach
Do not iron directly on prints/embroidery",,Not available,"https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT281-BLK_1.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT281-BLK_3.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT281-BLK_4.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT281-BLK_5.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT281-BLK_2.jpg",t-shirt,https://breakout.com.pk/collections/men-tees/products/22fht281-blk
GRAPHIC TEE,"PKR 1,799",22FHT251-0XS-PNK,"Machine or handwash upto 30°C/86F
Gentle cycle
Do not dry in direct sunlight
Do not bleach
Do not iron directly on prints/embroidery",,Not available,"https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT251-PNK_5.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT251-PNK_2.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT251-PNK_1.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT251-PNK_3.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT251-PNK_4.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT251-PNK_6.jpg",t-shirt,https://breakout.com.pk/collections/men-tees/products/22fht251-pnk
COLOR BLOCKING TEE,"PKR 1,799",22FHT227-0XS-BLW,"Machine or handwash upto 30°C/86F
Gentle cycle
Do not dry in direct sunlight
Do not bleach
Do not iron directly on prints/embroidery",,Not available,"https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT227-BLW_2.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT227-BLW_4.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT227-BLW_5.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT227-BLW_1.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT227-BLW_3.jpg",t-shirt,https://breakout.com.pk/collections/men-tees/products/22fht227-blw
CREW NECK TEE,"PKR 1,699",22FHT206-0XS-OLV,"Machine or handwash upto 30°C/86F
Gentle cycle
Do not dry in direct sunlight
Do not bleach
Do not iron directly on prints/embroidery",,Not available,"https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT206-OLV_4.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT206-OLV_1.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT206-OLV_5.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT206-OLV_3.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FHT206-OLV_2.jpg",t-shirt,https://breakout.com.pk/collections/men-tees/products/22fht206-olv
RAGLAN TEE,"PKR 1,999",22FFT298-0XS-GRO,"Machine or handwash upto 30°C/86F
Gentle cycle
Do not dry in direct sunlight
Do not bleach
Do not iron directly on prints/embroidery",,Not available,"https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT298-GRO_6.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT298-GRO_5.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT298-GRO_4.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT298-GRO_3.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT298-GRO_2.jpg, https://cdn.shopify.com/s/files/1/0202/5884/8822/products/22FFT298-GRO_1.jpg",t-shirt,https://breakout.com.pk/collections/men-tees/products/22fft298-gro
