Product Name,Product SKU,Product Price,Product Color,Product Size,Gender,Product Description,Product Images,Product Link,Type
BASIC SNEAKERS WITH ZIPPER DETAIL,F0061/112/901-10378898,"PKR 6,990","White,Black","40,41,42,43,44,45",MEN,"COMPOSITION & CARE:
DO NOT WASH
DO NOT BLEACH
DO NOT DRY CLEAN
DO NOT TUMBLE DRY
DO NOT SUBMERGE IN WATER","https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112001_1_c7dca941-b6de-44bc-9d25-acfeab157d71.jpg?v=1667459927,https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112001_2.jpg?v=1667459927,https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112001_4.jpg?v=1667459927,https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112001_3.jpg?v=1667459927,https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112901_4_01e37ddc-019e-4453-836b-e3cf71f1fffb.jpg?v=1667460922,https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112901_3.jpg?v=1667460922,https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112901_1.jpg?v=1667459880,https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112901_2.jpg?v=1667459880",https://outfitters.com.pk/collections/men-footwear/products/f0061-112?variant=42022119506111,footwear
ANKLE HIGH CONTRAST SNEAKERS,F0076/112/305-10381472,"PKR 7,990","Brick Red,Black","40,41,42,43,44,45",MEN,"COMPOSITION & CARE:
DO NOT WASH
DO NOT BLEACH
DO NOT DRY CLEAN
DO NOT TUMBLE DRY
DO NOT SUBMERGE IN WATER","https://cdn.shopify.com/s/files/1/2290/7887/products/F0076112305_4_08a6f296-cede-43d5-8ae3-700fe170529a.jpg?v=1667460733,https://cdn.shopify.com/s/files/1/2290/7887/products/F0076112305_3.jpg?v=1667460733,https://cdn.shopify.com/s/files/1/2290/7887/products/F0076112305_2.jpg?v=1667460733,https://cdn.shopify.com/s/files/1/2290/7887/products/F0076112305_1.jpg?v=1667460733,https://cdn.shopify.com/s/files/1/2290/7887/products/F0076112901_4_37264687-9376-4012-a0b9-c54e83d3fd92.jpg?v=1667460733,https://cdn.shopify.com/s/files/1/2290/7887/products/F0076112901_3.jpg?v=1667460733,https://cdn.shopify.com/s/files/1/2290/7887/products/F0076112901_1.jpg?v=1667460733,https://cdn.shopify.com/s/files/1/2290/7887/products/F0076112901_2.jpg?v=1667460694",https://outfitters.com.pk/collections/men-footwear/products/f0076-112?variant=42022123045055,footwear
COLOR POP ANKLE HIGH SNEAKERS,F0064/112/202-10378928,"PKR 7,990","Orange,Persian Blue","40,41,42,43,44,45",MEN,"COMPOSITION & CARE:
DO NOT WASH
DO NOT BLEACH
DO NOT DRY CLEAN
DO NOT TUMBLE DRY
DO NOT SUBMERGE IN WATER","https://cdn.shopify.com/s/files/1/2290/7887/products/F0064112202_4.jpg?v=1667460437,https://cdn.shopify.com/s/files/1/2290/7887/products/F0064112202_3.jpg?v=1667460437,https://cdn.shopify.com/s/files/1/2290/7887/products/F0064112202_2.jpg?v=1667460437,https://cdn.shopify.com/s/files/1/2290/7887/products/F0064112202_1.jpg?v=1667460437,https://cdn.shopify.com/s/files/1/2290/7887/products/F0064112627_1.jpg?v=1667460437,https://cdn.shopify.com/s/files/1/2290/7887/products/F0064112627_3.jpg?v=1667460429,https://cdn.shopify.com/s/files/1/2290/7887/products/F0064112627_2.jpg?v=1667460429",https://outfitters.com.pk/collections/men-footwear/products/f0064-112?variant=42022121111743,footwear
BASIC COLOR POP SNEAKERS,F0062/112/104-10381490,"PKR 6,990","White,Yellow,Green","40,41,42,43,44,45",MEN,"COMPOSITION & CARE:
DO NOT WASH
DO NOT BLEACH
DO NOT DRY CLEAN
DO NOT TUMBLE DRY
DO NOT SUBMERGE IN WATER","https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112001_4_22934bed-78d2-450b-ae11-22bc05c0c27e.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112001_3.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112001_shoes_b13169fb-0d8d-465e-b82c-ee6cffbfd8f7.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112001_1.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112001_2.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112104_4_6682d086-f894-46dc-8449-699c381badb0.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112104_1.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112104_3.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112104_2.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112708_4_80bcfe6e-8c42-43f7-beb9-e22c70739488.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112708_3.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112708_1.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112708_2.jpg?v=1667460002",https://outfitters.com.pk/collections/men-footwear/products/f0062-112?variant=42022119899327,footwear
BASIC SNEAKERS WITH ZIPPER DETAIL,F0061/112/001-10378892,"PKR 6,990","White,Black","40,41,42,43,44,45",MEN,"COMPOSITION & CARE:
DO NOT WASH
DO NOT BLEACH
DO NOT DRY CLEAN
DO NOT TUMBLE DRY
DO NOT SUBMERGE IN WATER","https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112001_1_c7dca941-b6de-44bc-9d25-acfeab157d71.jpg?v=1667459927,https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112001_2.jpg?v=1667459927,https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112001_4.jpg?v=1667459927,https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112001_3.jpg?v=1667459927,https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112901_4_01e37ddc-019e-4453-836b-e3cf71f1fffb.jpg?v=1667460922,https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112901_3.jpg?v=1667460922,https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112901_1.jpg?v=1667459880,https://cdn.shopify.com/s/files/1/2290/7887/products/F0061112901_2.jpg?v=1667459880",https://outfitters.com.pk/collections/men-footwear/products/f0061-112?variant=42022119309503,footwear
BASIC PLATFORM SOLE CONTRAST SNEAKERS,F0060/112/901-10378886,"PKR 6,990","Black,White","40,41,42,43,44,45",MEN,"COMPOSITION & CARE:
DO NOT WASH
DO NOT BLEACH
DO NOT DRY CLEAN
DO NOT TUMBLE DRY
DO NOT SUBMERGE IN WATER","https://cdn.shopify.com/s/files/1/2290/7887/products/F0060112901_4_d339b8d6-dfb6-4d1a-9842-cf6dffc3bfee.jpg?v=1667459799,https://cdn.shopify.com/s/files/1/2290/7887/products/F0060112901_1.jpg?v=1667459799,https://cdn.shopify.com/s/files/1/2290/7887/products/F0060112901_3.jpg?v=1667459799,https://cdn.shopify.com/s/files/1/2290/7887/products/F0060112901_2.jpg?v=1667459799,https://cdn.shopify.com/s/files/1/2290/7887/products/F0060112001_4.jpg?v=1667459799,https://cdn.shopify.com/s/files/1/2290/7887/products/F0060112001_3_1.jpg?v=1667459799,https://cdn.shopify.com/s/files/1/2290/7887/products/F0060112001_1.jpg?v=1667459799,https://cdn.shopify.com/s/files/1/2290/7887/products/F0060112001_2_1.jpg?v=1667459799",https://outfitters.com.pk/collections/men-footwear/products/f0060-112?variant=42022119112895,footwear
BASIC COLOR POP SNEAKERS,F0062/112/708-10378910,"PKR 6,990","White,Yellow,Green","40,41,42,43,44,45",MEN,"COMPOSITION & CARE:
DO NOT WASH
DO NOT BLEACH
DO NOT DRY CLEAN
DO NOT TUMBLE DRY
DO NOT SUBMERGE IN WATER","https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112001_4_22934bed-78d2-450b-ae11-22bc05c0c27e.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112001_3.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112001_shoes_b13169fb-0d8d-465e-b82c-ee6cffbfd8f7.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112001_1.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112001_2.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112104_4_6682d086-f894-46dc-8449-699c381badb0.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112104_1.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112104_3.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112104_2.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112708_4_80bcfe6e-8c42-43f7-beb9-e22c70739488.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112708_3.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112708_1.jpg?v=1667460055,https://cdn.shopify.com/s/files/1/2290/7887/products/F0062112708_2.jpg?v=1667460002",https://outfitters.com.pk/collections/men-footwear/products/f0062-112?variant=42022120095935,footwear
COLOR POP ANKLE HIGH SNEAKERS,F0064/112/627-10378934,"PKR 7,990","Orange,Persian Blue","40,41,42,43,44,45",MEN,"COMPOSITION & CARE:
DO NOT WASH
DO NOT BLEACH
DO NOT DRY CLEAN
DO NOT TUMBLE DRY
DO NOT SUBMERGE IN WATER","https://cdn.shopify.com/s/files/1/2290/7887/products/F0064112202_4.jpg?v=1667460437,https://cdn.shopify.com/s/files/1/2290/7887/products/F0064112202_3.jpg?v=1667460437,https://cdn.shopify.com/s/files/1/2290/7887/products/F0064112202_2.jpg?v=1667460437,https://cdn.shopify.com/s/files/1/2290/7887/products/F0064112202_1.jpg?v=1667460437,https://cdn.shopify.com/s/files/1/2290/7887/products/F0064112627_1.jpg?v=1667460437,https://cdn.shopify.com/s/files/1/2290/7887/products/F0064112627_3.jpg?v=1667460429,https://cdn.shopify.com/s/files/1/2290/7887/products/F0064112627_2.jpg?v=1667460429",https://outfitters.com.pk/collections/men-footwear/products/f0064-112?variant=42022121308351,footwear
ANKLE HIGH SNEAKERS,F0077/112/115-10381478,"PKR 7,990","White,Pale Yellow","40,41,42,43,44,45",MEN,"COMPOSITION & CARE:
DO NOT WASH
DO NOT BLEACH
DO NOT DRY CLEAN
DO NOT TUMBLE DRY
DO NOT SUBMERGE IN WATER","https://cdn.shopify.com/s/files/1/2290/7887/products/F0077112001_4_c03f2481-efa4-4e21-8650-0917b0663cc3.jpg?v=1667460776,https://cdn.shopify.com/s/files/1/2290/7887/products/F0077112001-shoes.jpg?v=1667460776,https://cdn.shopify.com/s/files/1/2290/7887/products/F0077112001_1.jpg?v=1667460776,https://cdn.shopify.com/s/files/1/2290/7887/products/F0077112001_3.jpg?v=1667460776,https://cdn.shopify.com/s/files/1/2290/7887/products/F0077112001_2.jpg?v=1667460776,https://cdn.shopify.com/s/files/1/2290/7887/products/F0077112115_4_799c4fc8-f732-4771-933a-d8bece212db5.jpg?v=1667460776,https://cdn.shopify.com/s/files/1/2290/7887/products/F0077112115_3.jpg?v=1667460776,https://cdn.shopify.com/s/files/1/2290/7887/products/F0077112115_1.jpg?v=1667460776,https://cdn.shopify.com/s/files/1/2290/7887/products/F0077112115_2.jpg?v=1667460776",https://outfitters.com.pk/collections/men-footwear/products/f0077-112?variant=42022123897023,footwear
MESH TOP SNEAKERS,F0065/112/119-10384687,"PKR 6,990","Beige,Khaaki","40,41,42,43,44,45",MEN,"COMPOSITION & CARE:
DO NOT WASH
DO NOT BLEACH
DO NOT DRY CLEAN
DO NOT TUMBLE DRY
DO NOT SUBMERGE IN WATER","https://cdn.shopify.com/s/files/1/2290/7887/products/F0065112113_4_37f29b13-347b-4780-baf5-fe334dcaa238.jpg?v=1667460514,https://cdn.shopify.com/s/files/1/2290/7887/products/F0065112113_3.jpg?v=1667460514,https://cdn.shopify.com/s/files/1/2290/7887/products/F0065112113_shoes.jpg?v=1667460514,https://cdn.shopify.com/s/files/1/2290/7887/products/F0065112113_1.jpg?v=1667460514,https://cdn.shopify.com/s/files/1/2290/7887/products/F0065112113_2.jpg?v=1667460514,https://cdn.shopify.com/s/files/1/2290/7887/products/F0065112119_4_f0047aa9-7455-4edc-b7e9-d7945b8d4112.jpg?v=1667460514,https://cdn.shopify.com/s/files/1/2290/7887/products/F0065112119_3.jpg?v=1667460514,https://cdn.shopify.com/s/files/1/2290/7887/products/F0065112119_1.jpg?v=1667460514,https://cdn.shopify.com/s/files/1/2290/7887/products/F0065112119_2.jpg?v=1667460514",https://outfitters.com.pk/collections/men-footwear/products/f0065-112?variant=42022121701567,footwear
