title,price,sku,description,sizes,colors,images,type,product_link
Diners Men'S Round Neck T-Shirt,"Rs.1,267.50",NA899-RED,"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves","S,M,L,XL",No colors,"https://cdn.shopify.com/s/files/1/2219/4051/products/NA899-RED-RS-1690-01_compact.jpg?v=1662380768,https://cdn.shopify.com/s/files/1/2219/4051/products/NA899-RED-RS-1690-02_compact.jpg?v=1662380768,https://cdn.shopify.com/s/files/1/2219/4051/products/NA899-RED-RS-1690-03_compact.jpg?v=1662380768",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-round-neck-t-shirt-2
Diners Men'S Polo T-Shirt,"Rs.1,646.25",NA827-PLUM(2;3;B)(2;2;C),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,PLUM","S,M,L,XL,XXL,XXXL,PLUM","https://cdn.shopify.com/s/files/1/2219/4051/products/NA827-PLUM-RS-2195-01_compact.jpg?v=1660981188,https://cdn.shopify.com/s/files/1/2219/4051/products/NA827-PLUM-RS-2195-02_compact.jpg?v=1660981188,https://cdn.shopify.com/s/files/1/2219/4051/products/NA827-PLUM-RS-2195-03_compact.jpg?v=1660981189",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-27
Diners Men'S Polo T-Shirt SKU: NA892-L-PINK,"Rs.3,742.50",NA892-L-PINK(6;6;A)(6;1;B),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,XXL,XXXL,L-PINK","S,M,L,XL,XXL,XXXL,L-PINK","https://cdn.shopify.com/s/files/1/2219/4051/products/NA892-L-Pink-Rs-4990-01_compact.jpg?v=1655473472,https://cdn.shopify.com/s/files/1/2219/4051/products/NA892-L-Pink-Rs-4990-02_compact.jpg?v=1655473472,https://cdn.shopify.com/s/files/1/2219/4051/products/NA892-L-Pink-Rs-4990-03_compact.jpg?v=1655473471",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na892-l-pink
Diners Men'S Round Neck T-Shirt SKU: NA870-WHITE,"Rs.1,267.50",NA870-WHITE(4;5;C),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves","S,M,L,XL",No colors,"https://cdn.shopify.com/s/files/1/2219/4051/products/NA870-WHITE-RS-1690-01_compact.jpg?v=1652709367,https://cdn.shopify.com/s/files/1/2219/4051/products/NA870-WHITE-RS-1690-02_compact.jpg?v=1652709367,https://cdn.shopify.com/s/files/1/2219/4051/products/NA870-WHITE-RS-1690-03_compact.jpg?v=1652709367",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-round-neck-t-shirt-sku-na870-white
Diners Men'S Polo T-Shirt,"Rs.3,667.50",NA888-TEAL(5;3;C),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,XXL,XXXL,TEAL","S,M,L,XL,XXL,XXXL,TEAL","https://cdn.shopify.com/s/files/1/2219/4051/products/NA888-TEAL-RTL-4890-01_compact.jpg?v=1657004674,https://cdn.shopify.com/s/files/1/2219/4051/products/NA888-TEAL-RTL-4890-02_compact.jpg?v=1657004674",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-2
Diners Men'S Polo T-Shirt,"Rs.2,167.50",NA835-BROWN,"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,BROWN","S,M,L,XL,XXL,XXXL,BROWN","https://cdn.shopify.com/s/files/1/2219/4051/products/NA835-BROWN-RS-2890-01_compact.jpg?v=1661603707,https://cdn.shopify.com/s/files/1/2219/4051/products/NA835-BROWN-RS-2890-02_compact.jpg?v=1661603706,https://cdn.shopify.com/s/files/1/2219/4051/products/NA835-BROWN-RS-2890-03_compact.jpg?v=1661603706",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-38
Diners Men'S Polo T-Shirt SKU: NA887-GREY,"Rs.3,667.50",NA887-GREY(5;5;B),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,XXL,XXXL,GREY","S,M,L,XL,XXL,XXXL,GREY","https://cdn.shopify.com/s/files/1/2219/4051/products/NA887-Grey-Rs-4890-01_compact.jpg?v=1654350914,https://cdn.shopify.com/s/files/1/2219/4051/products/NA887-Grey-Rs-4890-02_compact.jpg?v=1654350914,https://cdn.shopify.com/s/files/1/2219/4051/products/NA887-Grey-Rs-4890-03_compact.jpg?v=1654350914",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na887-grey
Diners Men'S Polo T-Shirt,"Rs.1,646.25",NA828-NAVY(3;5;C)(3;6;C),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,NAVY","S,M,L,XL,XXL,XXXL,NAVY","https://cdn.shopify.com/s/files/1/2219/4051/products/NA828-Navy-Rs-2195-01_compact.jpg?v=1659014070,https://cdn.shopify.com/s/files/1/2219/4051/products/NA828-Navy-Rs-2195-02_compact.jpg?v=1659014071,https://cdn.shopify.com/s/files/1/2219/4051/products/NA828-Navy-Rs-2195-03_compact.jpg?v=1659014070",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-20
Diners Men'S Polo T-Shirt SKU: NA895-GREY,"Rs.3,742.50",NA895-GREY(6;1;D)(6;5;C)(6;6;C),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,XXL,XXXL,GREY","S,M,L,XL,XXL,XXXL,GREY","https://cdn.shopify.com/s/files/1/2219/4051/products/NA895-Grey-Rs-4990-01_compact.jpg?v=1655473802,https://cdn.shopify.com/s/files/1/2219/4051/products/NA895-Grey-Rs-4990-02_compact.jpg?v=1655473802,https://cdn.shopify.com/s/files/1/2219/4051/products/NA895-Grey-Rs-4990-03_compact.jpg?v=1655473802",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na895-grey
Diners Men'S Polo T-Shirt SKU: NA896-AQUA,"Rs.3,742.50",NA896-AQUA(7;1;A)(7;2;A),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,XXL,XXXL,AQUA","S,M,L,XL,XXL,XXXL,AQUA","https://cdn.shopify.com/s/files/1/2219/4051/products/NA896-Aqua-Rs-4990-01_compact.jpg?v=1655474033,https://cdn.shopify.com/s/files/1/2219/4051/products/NA896-Aqua-Rs-4990-02_compact.jpg?v=1655474032,https://cdn.shopify.com/s/files/1/2219/4051/products/NA896-Aqua-Rs-4990-03_compact.jpg?v=1655474033",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na896-aqua
Diners Men'S Polo T-Shirt SKU: NA896-ORANGE,"Rs.3,742.50",NA896-ORANGE(7;3;A)(7;4;A),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,XXL,XXXL,ORANGE","S,M,L,XL,XXL,XXXL,ORANGE","https://cdn.shopify.com/s/files/1/2219/4051/products/NA896-Orange-Rs-4990-01_compact.jpg?v=1655474135,https://cdn.shopify.com/s/files/1/2219/4051/products/NA896-Orange-Rs-4990-02_compact.jpg?v=1655474135,https://cdn.shopify.com/s/files/1/2219/4051/products/NA896-Orange-Rs-4990-03_compact.jpg?v=1655474136",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na896-orange
Diners Men'S Polo T-Shirt SKU: NA884-L-BLUE,"Rs.3,667.50",NA884-L-BLUE(5;1;A),"Shirt Type: Casual T-Shirt
Sleeves: Half Sleeves
Collars Type: Polo Collar","S,M,L,XL,XXL,L-BLUE","S,M,L,XL,XXL,XXXL,L-BLUE","https://cdn.shopify.com/s/files/1/2219/4051/products/NA884-L-Blue-Rs-4890-01_compact.jpg?v=1654261372,https://cdn.shopify.com/s/files/1/2219/4051/products/NA884-L-Blue-Rs-4890-02_compact.jpg?v=1654261372,https://cdn.shopify.com/s/files/1/2219/4051/products/NA884-L-Blue-Rs-4890-03_compact.jpg?v=1654261372",t-shirt,https://diners.com.pk/collections/t-shirts/products/diners-mens-polo-t-shirt-sku-na884-l-blue
